symboling,CarName,fueltype,carbody,drivewheel,enginesize,horsepower,price
3,alfa-romero giulia,gas,convertible,rwd,130,111,13495.0
3,alfa-romero stelvio,gas,convertible,rwd,130,111,16500.0
1,alfa-romero Quadrifoglio,gas,hatchback,rwd,152,154,16500.0
2,audi 100 ls,gas,sedan,fwd,109,102,13950.0
2,audi 100ls,gas,sedan,4wd,136,115,17450.0
2,audi fox,gas,sedan,fwd,136,110,15250.0
1,audi 100ls,gas,sedan,fwd,136,110,17710.0
1,audi 5000,gas,wagon,fwd,136,110,18920.0
1,audi 4000,gas,sedan,fwd,131,140,23875.0
0,audi 5000s (diesel),gas,hatchback,4wd,131,160,17859.167
2,bmw 320i,gas,sedan,rwd,108,101,16430.0
0,bmw 320i,gas,sedan,rwd,108,101,16925.0
0,bmw x1,gas,sedan,rwd,164,121,20970.0
0,bmw x3,gas,sedan,rwd,164,121,21105.0
1,bmw z4,gas,sedan,rwd,164,121,24565.0
0,bmw x4,gas,sedan,rwd,209,182,30760.0
0,bmw x5,gas,sedan,rwd,209,182,41315.0
0,bmw x3,gas,sedan,rwd,209,182,36880.0
2,chevrolet impala,gas,hatchback,fwd,61,48,5151.0
1,chevrolet monte carlo,gas,hatchback,fwd,90,70,6295.0
0,chevrolet vega 2300,gas,sedan,fwd,90,70,6575.0
1,dodge rampage,gas,hatchback,fwd,90,68,5572.0
1,dodge challenger se,gas,hatchback,fwd,90,68,6377.0
1,dodge d200,gas,hatchback,fwd,98,102,7957.0
1,dodge monaco (sw),gas,hatchback,fwd,90,68,6229.0
1,dodge colt hardtop,gas,sedan,fwd,90,68,6692.0
1,dodge colt (sw),gas,sedan,fwd,90,68,7609.0
1,dodge coronet custom,gas,sedan,fwd,98,102,8558.0
-1,dodge dart custom,gas,wagon,fwd,122,88,8921.0
3,dodge coronet custom (sw),gas,hatchback,fwd,156,145,12964.0
2,honda civic,gas,hatchback,fwd,92,58,6479.0
2,honda civic cvcc,gas,hatchback,fwd,92,76,6855.0
1,honda civic,gas,hatchback,fwd,79,60,5399.0
1,honda accord cvcc,gas,hatchback,fwd,92,76,6529.0
1,honda civic cvcc,gas,hatchback,fwd,92,76,7129.0
0,honda accord lx,gas,sedan,fwd,92,76,7295.0
0,honda civic 1500 gl,gas,wagon,fwd,92,76,7295.0
0,honda accord,gas,hatchback,fwd,110,86,7895.0
0,honda civic 1300,gas,hatchback,fwd,110,86,9095.0
0,honda prelude,gas,sedan,fwd,110,86,8845.0
0,honda accord,gas,sedan,fwd,110,86,10295.0
0,honda civic,gas,sedan,fwd,110,101,12945.0
1,honda civic (auto),gas,sedan,fwd,110,100,10345.0
0,isuzu MU-X,gas,sedan,rwd,111,78,6785.0
1,isuzu D-Max ,gas,sedan,fwd,90,70,8916.5
0,isuzu D-Max V-Cross,gas,sedan,fwd,90,70,8916.5
2,isuzu D-Max ,gas,hatchback,rwd,119,90,11048.0
0,jaguar xj,gas,sedan,rwd,258,176,32250.0
0,jaguar xf,gas,sedan,rwd,258,176,35550.0
0,jaguar xk,gas,sedan,rwd,326,262,36000.0
1,maxda rx3,gas,hatchback,fwd,91,68,5195.0
1,maxda glc deluxe,gas,hatchback,fwd,91,68,6095.0
1,mazda rx2 coupe,gas,hatchback,fwd,91,68,6795.0
1,mazda rx-4,gas,sedan,fwd,91,68,6695.0
1,mazda glc deluxe,gas,sedan,fwd,91,68,7395.0
3,mazda 626,gas,hatchback,rwd,70,101,10945.0
3,mazda glc,gas,hatchback,rwd,70,101,11845.0
3,mazda rx-7 gs,gas,hatchback,rwd,70,101,13645.0
3,mazda glc 4,gas,hatchback,rwd,80,135,15645.0
1,mazda 626,gas,hatchback,fwd,122,84,8845.0
0,mazda glc custom l,gas,sedan,fwd,122,84,8495.0
1,mazda glc custom,gas,hatchback,fwd,122,84,10595.0
0,mazda rx-4,gas,sedan,fwd,122,84,10245.0
0,mazda glc deluxe,diesel,sedan,fwd,122,64,10795.0
0,mazda 626,gas,hatchback,fwd,122,84,11245.0
0,mazda glc,gas,sedan,rwd,140,120,18280.0
